College Code,College Name,2023,2024,Difference
2612,"PGP College of Engineering and Technology,Namakkal-Paramathi NH 7 Road, Namakkal-637207.",302,415,113
2613,"K S R College of Engineering (Autonomous), K S RKalvi Nagar, Thokkavadi, Tiruchengode, NamakkalDist-637215.",351,716,365
2614,"SSM College of Engineering, NH-47 Salem Main Road,Komarapalayam, Namakkal District-638183.",302,318,16
2615,Government College of Engineering (Autonomous)Karuppur  Salem District 636011,429,435,6
2616,"Sapthagiri College of Engineering, NH-7, KrishnagiriMain Road,Palacode Taluk Periyanahalli Village &Post Dharmapuri District-635205.",326,327,1
2617,"Sengunthar Engineering College (Autonomous),Kosavampalayam, Kumaramangalam(Post),Tiruchengode (Taluk),Namakkal District-637205.",433,482,49
2618,"Sona College of Technology (Autonomous), SonaNagar, Thiagarajar Polytechnic College Road,Suramangalam (P.O),Salem District-636005.",705,778,73
2620,"Vivekanandha College of Engineering for Women(Autonomous), Sathiyanaickenpalayam Village,Elayampalayam, Tiruchengode, Namakkal District-637205.",344,569,225
2621,"Er. Perumal Manimekalai College of Engineering(Autonomous), 17th Km Hosur - Krishnagiri NH7,Nallaganakothapalli, Near Koneripalli, Hosur Taluk,Krishnagiri District-635117.",650,783,133
2622,"V S B Engineering College (Autonomous), N.H.67,Covai Road, Karudayampalayam (Village & Post),Aravakurichi (TK), Karur-639111.",743,905,162
2623,"Mahendra College of Engineering, 12th KM AtturMain Road, Minnampalli, Salem-636106.",411,332,-79
2624,"Gnanamani College of Technology (Autonomous), NH-7, A.K. Samuthiram, Pachal Post, Namakkal District-637018.",660,816,156
2625,"The Kavery Engineering College, M. Kalipatti, Mecheri(Post), Mettur Taluk, Salem District-636453.",424,481,57
2627,"Selvam College of Technology (Autonomous), SalemRoad NH-7, Pappinaickenpatti (Post), PonnusamyNagar, Namakkal (Tk & Dt)-637003.",434,435,1
2628,"Paavai College of Engineering, Paavai Nagar, NH-7,Pachal, Namakkal-637018.",406,464,58
2630,"Chettinad College of Engineering and Technology, NH-67, Karur to Trichy Highways, Puliyur CF, Karur-639114.",176,212,36
2632,"Mahendra Institute of Technology (Autonomous),Mahendhirapuri, Mallasamudram West,Vadugapalayam Post, Tiruchengodu Taluk, NamakkalDistrict-637503.",547,445,-102
2633,"Vidyaa Vikas College of Engineering and Technology,Varahoorampatti Village, Tiruchengode Taluk,Namakkal-637214.",298,299,1
2634,"Excel Engineering College (Autonomous), NH-47Salem Main Road, Sankari West Post, TiruchengodeTaluk, Pallakapalayam,  Namakkal District-637303.",779,911,132
2635,"CMS College of Engineering, CMS Nagar, EranapuramPost, Namakkal-637003.",157,265,108
2636,"AVS Engineering College, Military Road, Ammapet,Salem-636003.",406,610,204
2638,"Mahendra Engineering College for Women,Komaramanagalam Post,TiruchengodeTaluk,Namakkal District-637205.",211,212,1
2639,"R P Sarathy Institute of Technology ,Poosaripatty(PO), Omalur Taluk, Salem-636305.",230,463,233
2640,"Jayalakshmi Institute of Technology, Thoppur,Dharmapuri District-636352.",434,408,-26
2641,"Varuvan Vadivelan Institute of Technology, NH 7,Krishnagiri Main Road, Gundalapatty, Dharmapuri-636703.",317,327,10
2642,"P.S.V.College of Engineering and Technology,Mittapalli, Balinayanapalli Post, Krishnagiri-635108.",394,479,85
2643,"Bharathiyar Institute of Engineering for Women,43/3, Deviyakurichi, Attur Taluk,Salem District-636112.",316,376,60
2646,"Tagore Institute of Engineering and Technology,Salem-Chennai Bye Pass Road, Deviyakurichi (Po),Attur (Tk), Salem (Dt)-636112.",293,315,22
2647,"J.K.K.Nataraja College of Engineering and Technology,Sf No. 147/1,2,4 Komarapalayam Amani,Thattankuttai Panchayat, Tiruchengode, Namakkal-638183.",266,263,-3
2648,"Annapoorana Engineering College (Autonomous),Sankari Main Road (NH-47), Periyaseeragapadi, Salem636308.",452,439,-13
2650,"Christ The King Engineering College, Cecilia Gardens,Chikkarampalayam Village, Karamadai, Coimbatore-641104.",265,295,30
2651,"Jai Shriram Engineering College , Dharapuram Road,Tirupur-638660.",290,345,55
2652,"AL-Ameen Engineering College (Autonomous),Karundevanpalayam, Nanjai Uthukkuli Post, ErodeDistrict-638104.",216,217,1
2653,"Knowledge Institute of Technology (Autonomous),KIOT Campus, Kakapalayam (PO), Salem-637504.",403,600,197
2656,"Builders Engineering College (Autonomous), EBETKnowledge Park, Erode Road Nathakadaiyur,Kangeyam, Tiruppur-638108.",241,248,7
2658,"V S A Group of Institutions, NH-47 Main Road,Uthamasolapuram Post, Salem-636010.",287,254,-33
2659,"Salem College of Engineering and Technology, NH-68Salem-Attur Main Road, Mettupatty Perumapalayam,Salem-636111.",315,289,-26
2673,"Sree Sakthi Engineering College (Autonomous), 899/1& 898/2, Bettathapuram, Bilichi Village, Karamadai,Coimbatore-641104.",296,391,95
2683,"Shreenivasa Engineering College, B.Pallipatti,Bommidi, Pappireddipatti Taluk, Dharmapuri District-635301.",220,253,33
2702,"Bannari Amman Institute of Technology(Autonomous), Sathy-Bhavani Road, (State Highway),Alathukombai Post, Sathyamangalam (Taluk), ErodeDistrict-638401.",1107,1019,-88
2704,"Coimbatore Institute of Engineering and Technology(Autonomous), Vellimalaipattinam, NarasipuramPost, Thondamuthur Via, Coimbatore-641109.",303,504,201
2705,"CSI College of Engineering, Ketti Valley, The Nilgiris-643215.",202,353,151
2706,"Dr Mahalingam College of Engineering andTechnology (Autonomous), Mackkinaickenpatti Post,Udumalai Road, Pollachi, Coimbatore-642003.",668,719,51
2707,"Erode Sengunthar Engineering College (Autonomous),Thudupathi, Perundurai (Tk), Erode District-638057.",807,1187,380
2708,"Hindusthan College of Engineering andTechnology(Autonomous), OthakkalmandapamVillage, Coimbatore South Taluk, Coimbatore District-641032.",723,759,36
2709,Government College of Engineering (FormerlyInstitute of Road and Transport Technology)  VasaviCollege Post  Erode District 638316,243,247,4
2710,"Karpagam College of Engineering (Autonomous),S.F.No.758,759,760 Othakkal Mandapam,Coimbatore -641032.",521,522,1
2711,"Kongu Engineering College (Autonomous), PerunduraiRailway Station Road,Thoppupalayam,Perundurai,Erode-638052.",1037,1107,70
2712,"Kumaraguru College of Technology (Autonomous),Chinnavedampatti, Coimbatore-641049.",879,919,40
2713,"M.P.Nachimuthu M.Jaganathan Engineering College,Chennimalai, Erode-638112.",230,231,1
